cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss,cellID,clusters,embedding1,embedding2
0,gene_A,1.1764052,10.978738,5.687433,12.994701,1.8143731,3.2908568,3.3722477,0.062166654,0,0,10.97873798410574,0.0
1,gene_A,1.6430943,11.583889,7.061048,14.556161,2.204601,3.276572,3.354628,0.062166654,1,0,11.583889710471812,0.0
2,gene_A,1.6536809,11.725379,7.073415,14.71463,2.2065153,3.2774138,3.3551178,0.062166654,2,0,11.72537938702778,8.228238992573797e-05
3,gene_A,1.8740005,12.0618725,7.4586687,15.500811,2.2927513,3.2738073,3.349897,0.062166654,3,0,12.061872849326688,0.001027242082645063
4,gene_A,2.2746701,12.334953,8.189956,16.601149,2.4606764,3.2649183,3.3386257,0.062166654,4,0,12.334953071773104,0.0
5,gene_A,1.5166368,13.015111,6.606951,15.669931,2.0691803,3.2951336,3.3707,0.062166654,5,0,13.015110946581244,0.00027284157621840693
6,gene_A,2.0953333,13.0679455,7.803262,16.934954,2.3639472,3.275999,3.348825,0.062166654,6,0,13.067945355849922,0.0006421062799820465
7,gene_A,2.506776,13.253077,8.57744,17.971613,2.5449038,3.2658017,3.3364375,0.062166654,7,0,13.253076241543901,0.002453849793304207
8,gene_A,2.189401,13.130909,7.975357,17.192429,2.4035344,3.273883,3.346157,0.062166654,8,0,13.130909021120141,0.0039570305389996
9,gene_A,2.515857,12.952236,8.6129055,17.699629,2.5555382,3.2632725,3.334519,0.062166654,9,0,12.95223692131085,0.0003093645169319633
10,gene_A,2.1487095,11.909178,7.9801874,15.927381,2.4151993,3.2648969,3.3401282,0.062166654,10,0,11.909178149327861,0.006874125681135044
11,gene_A,1.9920821,11.184658,7.733996,14.901413,2.3639994,3.2633324,3.340884,0.062166654,11,0,11.184658119750166,0.019036188100597068
12,gene_A,1.5606052,10.703806,6.9355526,13.535794,2.1789553,3.2718577,3.352396,0.062166654,12,0,10.703805671920314,0.029044285329011578
13,gene_A,1.4833015,10.735333,6.725185,13.404512,2.12079,3.2750685,3.3554966,0.062166654,13,0,10.735333869599678,0.04263974344262433
14,gene_A,1.5499793,10.381973,6.93205,13.20369,2.1802764,3.2695043,3.3508062,0.062166654,14,0,10.381972465836899,0.028001339866238144
15,gene_A,1.435977,9.936032,6.6658583,12.536257,2.1106915,3.2699783,3.3520515,0.062166654,15,0,9.936032238609258,0.0
16,gene_A,1.5327199,9.005284,6.9994917,11.842263,2.20929,3.2586684,3.3427587,0.062166654,16,0,9.005284029252207,0.0
17,gene_A,1.3663237,9.48363,6.517033,11.955293,2.0732436,3.2686706,3.3516731,0.062166654,17,0,9.48363061295686,0.00010027602314387928
18,gene_A,1.6823908,9.760516,7.2533813,12.881962,2.265118,3.2603502,3.3423629,0.062166654,18,0,9.760516348888466,0.0
19,gene_A,1.499847,9.646471,6.8579984,12.390967,2.165457,3.2651548,3.347922,0.062166654,19,0,9.646470674534195,0.0
20,gene_A,1.2791198,9.974404,6.1768537,12.2451935,1.9695159,3.2771776,3.3597248,0.062166654,20,0,9.974404945188589,0.00010387702355189467
21,gene_A,1.67057,10.708935,7.171495,13.770808,2.2381485,3.268336,3.3483293,0.062166654,21,0,10.708934916027665,0.0005055846616187254
22,gene_A,1.4409262,10.518567,6.6226106,13.1074505,2.0935597,3.2751377,3.3560102,0.062166654,22,0,10.518568425344855,0.0096076229197389
23,gene_A,1.5442513,10.776769,6.8871694,13.571848,2.165236,3.273077,3.353483,0.062166654,23,0,10.776769144839886,0.030188141261141825
24,gene_A,1.5921198,10.902476,6.9973,13.793116,2.1938272,3.2725055,3.3523304,0.062166654,24,0,10.902475974982735,0.05509719132104797
