cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss
0,Cnpy1,0.0,1.7658921,29656.182,1.4760649,156.7504,202.42485,217.5333,0.12602535
1,Cnpy1,0.42955613,2.6130924,29710.586,2.3854425,157.03629,202.41664,217.53412,0.12602535
2,Cnpy1,0.0,3.4826314,29564.727,2.9109678,156.267,202.4641,217.56233,0.12602535
3,Cnpy1,0.8969129,4.963505,29693.588,4.5689807,156.94463,202.44034,217.55914,0.12602535
4,Cnpy1,0.0,0.5097278,29723.346,0.42607683,157.1054,202.39609,217.51204,0.12602535
5,Cnpy1,0.0,4.9051805,29489.09,4.0999207,155.86722,202.49661,217.58632,0.12602535
6,Cnpy1,0.27441695,4.1694813,29591.605,3.6136436,156.408,202.46217,217.56529,0.12602535
7,Cnpy1,0.0,5.645375,29449.803,4.718548,155.65956,202.5135,217.59885,0.12602535
8,Cnpy1,0.0,5.7756658,29442.887,4.827439,155.623,202.51651,217.60104,0.12602535
9,Cnpy1,0.0,5.020478,29482.973,4.1962833,155.83488,202.49924,217.58827,0.12602535
10,Cnpy1,0.0,6.566326,29400.963,5.4882255,155.40141,202.53458,217.6144,0.12602535
11,Cnpy1,0.8257529,4.7898846,29686.342,4.3905244,156.90662,202.44093,217.55846,0.12602535
12,Cnpy1,0.32536572,4.9400516,29562.383,4.281566,156.25334,202.47652,217.57669,0.12602535
13,Cnpy1,0.5100328,6.971888,29497.049,6.066284,155.9073,202.5111,217.60522,0.12602535
14,Cnpy1,1.4262749,2.7295437,29936.451,2.9495523,158.22626,202.35526,217.50479,0.12602535
15,Cnpy1,0.4215482,1.562737,29764.861,1.5037239,157.3232,202.39314,217.51663,0.12602535
16,Cnpy1,0.0,5.3349957,29466.275,4.459146,155.74663,202.50642,217.5936,0.12602535
17,Cnpy1,0.75094944,1.3555924,29852.627,1.4848336,157.78583,202.36722,217.50278,0.12602535
18,Cnpy1,0.36415383,1.4434458,29757.895,1.3771275,157.2866,202.39409,217.5164,0.12602535
19,Cnpy1,1.3209668,1.6534358,29969.67,2.000685,158.40224,202.3374,217.4899,0.12602535
20,Cnpy1,2.2890651,4.432994,30046.584,4.777419,158.80504,202.33875,217.50645,0.12602535
21,Cnpy1,3.9484837,5.9388924,30355.158,6.8127084,160.42961,202.26654,217.47981,0.12602535
22,Cnpy1,0.0,0.92137754,29701.258,0.7701662,156.98865,202.40555,217.51906,0.12602535
23,Cnpy1,0.0,0.7971957,29707.889,0.6663657,157.0237,202.4027,217.51694,0.12602535
24,Cnpy1,0.0,0.7050032,29712.816,0.589304,157.04974,202.4006,217.5154,0.12602535
25,Cnpy1,1.4486011,2.6016726,29948.537,2.8531122,158.29005,202.35089,217.50194,0.12602535
26,Cnpy1,1.7832785,1.2734687,30098.338,1.8994147,159.08054,202.29903,217.469,0.12602535
27,Cnpy1,0.0,9.970721,29220.953,8.333233,154.44995,202.61238,217.6719,0.12602535
28,Cnpy1,1.7470851,0.0,30157.654,0.8178386,159.39421,202.27211,217.44836,0.12602535
29,Cnpy1,0.69592446,1.4111202,29836.836,1.5054839,157.70256,202.37206,217.50546,0.12602535
30,Cnpy1,13.45094,1.671634,32909.39,7.672757,173.89337,201.5764,217.10802,0.12602535
31,Cnpy1,0.0,0.82492995,29706.408,0.68954813,157.01587,202.40334,217.51741,0.12602535
32,Cnpy1,2.6576045,2.9528549,30212.918,3.7124817,159.68277,202.28123,217.4699,0.12602535
33,Cnpy1,2.0742278,2.303995,30110.982,2.8970807,159.14624,202.30388,217.47726,0.12602535
34,Cnpy1,4.9244633,3.9444652,30694.957,5.6013527,162.22186,202.15822,217.41548,0.12602535
35,Cnpy1,0.2886707,3.743294,29617.613,3.264108,156.54543,202.4515,217.55765,0.12602535
36,Cnpy1,0.0,4.801121,29494.63,4.012951,155.8965,202.49422,217.58456,0.12602535
37,Cnpy1,0.0,5.044803,29481.68,4.2166133,155.82805,202.4998,217.5887,0.12602535
38,Cnpy1,0.0,6.773444,29389.992,5.6613197,155.34343,202.5393,217.6179,0.12602535
39,Cnpy1,1.8725861,6.953961,29813.973,6.689732,157.57716,202.42314,217.56213,0.12602535
40,Cnpy1,0.0,5.7039046,29446.693,4.7674646,155.64313,202.51486,217.59984,0.12602535
41,Cnpy1,1.7845885,5.075351,29894.158,5.078223,158.00133,202.38585,217.53317,0.12602535
42,Cnpy1,0.41936028,5.7891874,29538.951,5.035318,156.12915,202.48987,217.58807,0.12602535
43,Cnpy1,1.0780663,5.7765465,29692.227,5.3334193,156.93675,202.4473,217.56718,0.12602535
44,Cnpy1,0.5247152,4.2248654,29646.652,3.7772195,156.698,202.44736,217.55835,0.12602535
45,Cnpy1,1.0439645,2.261478,29872.367,2.3792853,157.88902,202.36913,217.5089,0.12602535
46,Cnpy1,0.6042175,0.34341207,29872.723,0.5700184,157.89261,202.35352,217.49028,0.12602535
47,Cnpy1,0.9491132,1.7293203,29878.785,1.89003,157.92331,202.36305,217.50288,0.12602535
48,Cnpy1,0.9208477,3.6576385,29768.922,3.488675,157.34273,202.40895,217.53632,0.12602535
49,Cnpy1,4.3862653,5.424163,30486.56,6.5870523,161.12245,202.22665,217.45735,0.12602535
50,Cnpy1,0.26933047,3.2819157,29637.717,2.8694124,156.65176,202.44221,217.55043,0.12602535
51,Cnpy1,1.9826523,8.710309,29745.611,8.209323,157.21541,202.45622,217.58833,0.12602535
52,Cnpy1,9.621863,13.121754,31314.459,15.468799,165.47809,202.06616,217.423,0.12602535
53,Cnpy1,5.3835874,14.12552,30249.658,14.328,159.86642,202.36148,217.57301,0.12602535
54,Cnpy1,3.4070485,4.682484,30295.658,5.5090723,160.1172,202.27261,217.47559,0.12602535
55,Cnpy1,2.715252,0.29557735,30369.342,1.5177946,160.50934,202.21661,217.42291,0.12602535
56,Cnpy1,0.43410078,2.9515061,29693.564,2.6704378,156.9463,202.42406,217.53969,0.12602535
57,Cnpy1,0.28406134,1.205116,29752.018,1.1403966,157.25584,202.3938,217.51492,0.12602535
58,Cnpy1,0.51856345,1.547771,29788.23,1.5366515,157.44633,202.38655,217.51332,0.12602535
59,Cnpy1,0.74597615,5.411286,29634.69,4.8725305,156.63391,202.46025,217.57143,0.12602535
60,Cnpy1,0.0,2.6635275,29608.342,2.226345,156.49753,202.44537,217.54848,0.12602535
61,Cnpy1,6.4390693,6.2328253,30930.617,8.2223215,163.46161,202.1132,217.40657,0.12602535
62,Cnpy1,11.227341,0.97165483,32389.377,6.0530615,171.15343,201.69142,217.16602,0.12602535
63,Cnpy1,15.540173,70.53295,29517.004,66.22211,155.95465,203.04272,218.22737,0.12602535
64,Cnpy1,0.0,4.0359883,29535.29,3.3734646,156.1114,202.47675,217.57167,0.12602535
65,Cnpy1,0.0,4.21004,29526.033,3.5189357,156.06248,202.48071,217.57458,0.12602535
66,Cnpy1,0.0,2.1817687,29634.014,1.8236741,156.63322,202.43437,217.54034,0.12602535
67,Cnpy1,1.5610825,16.894863,29213.691,14.851566,154.40553,202.67036,217.7398,0.12602535
68,Cnpy1,2.493122,6.0142727,30009.225,6.194797,158.60678,202.36179,217.52678,0.12602535
69,Cnpy1,0.48387724,6.244773,29529.648,5.446326,156.07971,202.49614,217.59375,0.12602535
70,Cnpy1,0.55503565,7.1950665,29495.586,6.2739034,155.8994,202.5133,217.60757,0.12602535
71,Cnpy1,0.5100328,5.505604,29575.021,4.840797,156.31943,202.47758,217.58044,0.12602535
72,Cnpy1,0.65780324,5.2668924,29621.95,4.7105284,156.56691,202.46263,217.5718,0.12602535
73,Cnpy1,0.0,5.3217883,29466.975,4.448108,155.75032,202.50613,217.59335,0.12602535
74,Cnpy1,0.5041013,2.6615305,29725.31,2.4608502,157.11383,202.41296,217.53258,0.12602535
75,Cnpy1,1.5975342,3.5998685,29929.701,3.7572634,158.18993,202.36414,217.51411,0.12602535
76,Cnpy1,0.63699526,1.646701,29810.5,1.6748118,157.56358,202.38121,217.51128,0.12602535
77,Cnpy1,0.5881182,3.1620896,29718.086,2.9186065,157.0753,202.41899,217.53839,0.12602535
78,Cnpy1,1.2123458,1.281107,29964.3,1.6385872,158.37428,202.33588,217.48705,0.12602535
79,Cnpy1,0.0,4.8612294,29491.432,4.0631876,155.8796,202.4956,217.58557,0.12602535
80,Cnpy1,1.1242727,6.2409086,29678.166,5.7431955,156.86224,202.45494,217.57358,0.12602535
81,Cnpy1,4.2397995,13.756488,30001.266,13.484216,158.55795,202.42651,217.60269,0.12602535
