gene_name,epoch,loss
Apela,9,0.10714418
Apela,19,0.12700863
Apela,29,0.09429987
Apela,39,0.14219731
Apela,49,0.10211909
Apela,59,0.13060294
Bambi,9,0.0964041
Bambi,19,0.11594713
Bambi,29,0.09025248
Bambi,39,0.09970091
Bambi,49,0.099366516
Bambi,59,0.090816095
Bmp4,9,0.10410413
Bmp4,19,0.076462395
Bmp4,29,0.104760624
Bmp4,39,0.104555786
Bmp4,49,0.09454873
Bmp6,9,0.12301583
Bmp6,19,0.11463665
Bmp6,29,0.12558012
Bmp6,39,0.13118492
Bmp6,49,0.108671114
Bmp6,59,0.12321654
Bmp6,69,0.10755246
Bmp6,79,0.101195335
Bmp6,89,0.08227403
Bmp6,99,0.114800714
Bmp6,109,0.11071766
Bmp6,119,0.09419562
Bmp7,9,0.089816645
Bmp7,19,0.08761094
Bmp7,29,0.06694787
Bmp7,39,0.084621064
Bmp7,49,0.094265655
Bmp7,59,0.06642608
Bmp7,69,0.074937545
Bmp7,79,0.09268802
Bmp7,89,0.09800662
Bnc2,9,0.08328001
Bnc2,19,0.09262007
Bnc2,29,0.097275674
Bnc2,39,0.08289617
Bnc2,49,0.0945575
Bnc2,59,0.07770857
Bnc2,69,0.09131599
Bnc2,79,0.08272656
Bnc2,89,0.09302626
Calca,9,0.2832538
Calca,19,0.22008775
Calca,29,0.3061086
Calca,39,0.2755573
Calca,49,0.22689012
Cnpy1,9,0.09346066
Cnpy1,19,0.08103082
Cnpy1,29,0.07848991
Cnpy1,39,0.08791549
Cnpy1,49,0.08566585
Cnpy1,59,0.08986661
Cx3cl1,9,0.16370785
Cx3cl1,19,0.22319588
Cx3cl1,29,0.16069248
Cx3cl1,39,0.1568568
Cx3cl1,49,0.16471002
Cx3cl1,59,0.19801432
Cx3cl1,69,0.18629666
Dbx1,9,0.10718566
Dbx1,19,0.10230845
Dbx1,29,0.110573016
Dbx1,39,0.09569277
Dbx1,49,0.1040186
Dbx1,59,0.105011754
Dbx1,69,0.121516325
Dkk2,9,0.08164694
Dkk2,19,0.0949494
Dkk2,29,0.08712521
Dkk2,39,0.084599845
Dlk1,9,0.06773835
Dlk1,19,0.07737076
Dlk1,29,0.08108688
Dlk1,39,0.06770323
Dlk1,49,0.071620464
Dlk1,59,0.07057342
Dlk1,69,0.07093463
Dlx2,9,0.12527853
Dlx2,19,0.1064536
Dlx2,29,0.11666944
Dlx2,39,0.120139
Dlx2,49,0.13357252
Dmrt1,9,0.3306753
Dmrt1,19,0.36552104
Dmrt1,29,0.35146993
Dmrt1,39,0.33494055
Dmrt3,9,0.12495201
Dmrt3,19,0.12734494
Dmrt3,29,0.13725534
